"page_name","page_url","page_type","event_action","event_content","site_section","page_language"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","link","deposit contributers: yes","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","textbox","contribution amount: 1","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","textbox","contribution amount: 10","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","textbox","contribution amount: 100","wechat","zh_cn"
"wechat:dual account opening:cn account usage","/dual-account-opening/cn-account-usage","application","textbox","contribution amount: 1000","wechat","zh_cn"
"wechat:dual account opening:terms and conditions","/dual-account-opening/terms-and-conditions","application","textbox","contribution amount: 1000","wechat","zh_cn"
"wechat:dual account opening:terms and conditions","/dual-account-opening/terms-and-conditions","application","radio","mailing address: home","wechat","zh_cn"
"wechat:dual account opening:terms and conditions","/dual-account-opening/terms-and-conditions","application","dropdown","branch: 广州分行","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","dropdown","branch: 广州分行","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","link","valid entry-exit permit more than 3 months: no","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","link","valid visa label more than 3 months: no","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","link","valid entry-exit permit more than 3 months: yes","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","link","valid visa label more than 3 months: yes","wechat","zh_cn"
"wechat:dual account opening:hk account eligibility","/dual-account-opening/hk-account-eligibility","application","checkbox","Full Referral: Yes","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","checkbox","Full Referral: Yes","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","checkbox","remuneration purpose","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","checkbox","deposit purpose","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","checkbox","other purpose","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","checkbox","family account purpose","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","textbox","contribution amount: 1","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","textbox","contribution amount: ","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","textbox","contribution amount: 2","wechat","zh_cn"
"wechat:dual account opening:hk account usage","/dual-account-opening/hk-account-usage","application","textbox","contribution amount: 20","wechat","zh_cn"
"wechat:dual account opening:hk account usage:atm pin","/dual-account-opening/hk-account-usage/atm-pin","application","textbox","contribution amount: 20","wechat","zh_cn"
"wechat:dual account opening:hk account usage:atm pin","/dual-account-opening/hk-account-usage/atm-pin","application","checkbox","email","wechat","zh_cn"
"wechat:dual account opening:hk account usage:atm pin","/dual-account-opening/hk-account-usage/atm-pin","application","checkbox","sms","wechat","zh_cn"
"wechat:dual account opening:hk account usage:atm pin","/dual-account-opening/hk-account-usage/atm-pin","application","checkbox","phone","wechat","zh_cn"
"wechat:dual account opening:hk account usage:atm pin","/dual-account-opening/hk-account-usage/atm-pin","application","checkbox","mail","wechat","zh_cn"
"wechat:dual account opening:confirmation","/dual-account-opening/confirmation","application","checkbox","mail","wechat","zh_cn"
"wechat:dual account opening:personal details","/dual-account-opening/personal-details","application","","","wechat","zh_cn"
"wechat:dual account opening:technical error","/dual-account-opening/technical-error","application","system","technical error","wechat","zh_cn"
